transaction_id,user_id,amount,timestamp,beneficiary_id,beneficiary_new,device_id,device_new,location,transaction_frequency,fraud_label
TXN1003,user_std_01,684.44,2026-08-01 18:13:14,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.0,0
TXN1024,user_std_01,621.02,2026-08-01 18:59:23,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,2.7,0
TXN1088,user_hni_01,18492.17,2026-08-01 23:19:48,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Delhi,4.5,0
TXN1009,user_std_01,466.41,2026-08-03 03:14:49,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,2.3,0
TXN1043,user_std_02,151.07,2026-08-03 04:30:32,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.1,0
TXN1038,user_std_02,30.0,2026-08-03 05:34:53,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.9,0
TXN1048,user_std_02,196.87,2026-08-03 19:29:39,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,2.5,0
TXN1014,user_std_01,427.72,2026-08-03 20:58:36,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.3,0
TXN1030,user_std_01,842.75,2026-08-04 04:40:03,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,2.7,0
TXN1051,user_std_02,84.31,2026-08-04 21:16:07,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,3.1,0
TXN1010,user_std_01,495.75,2026-08-04 23:17:29,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.3,0
TXN1080,user_hni_01,7922.61,2026-08-05 01:08:51,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Gurugram,4.4,0
TXN1061,user_std_02,327.01,2026-08-05 01:55:02,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,2.9,0
TXN1100,user_hni_01,16919.1,2026-08-05 03:01:59,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Gurugram,3.3,0
TXN1098,user_hni_01,17746.9,2026-08-05 03:13:29,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Delhi,4.2,0
TXN1057,user_std_02,246.63,2026-08-05 19:19:23,BENEF_HOSTEL_MESS,0,DEV_POOJA_MOBILE,0,Bengaluru,4.9,0
TXN1056,user_std_02,30.0,2026-08-06 03:02:53,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,3.4,0
TXN1018,user_std_01,980.31,2026-08-06 03:10:50,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.4,0
TXN1026,user_std_01,840.74,2026-08-06 03:30:35,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.9,0
TXN1091,user_hni_01,21004.8,2026-08-06 03:34:01,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Delhi,3.5,0
TXN1002,user_std_01,931.35,2026-08-06 04:06:43,BENEF_COLLEAGUE_RAVI,0,DEV_AARAV_PHONE,0,Mumbai,3.0,0
TXN1044,user_std_02,340.69,2026-08-06 20:38:04,BENEF_METRO_CARD,0,DEV_POOJA_MOBILE,0,Bengaluru,3.6,0
TXN1012,user_std_01,768.91,2026-08-07 00:24:17,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai,1.2,0
TXN1040,user_std_02,250.09,2026-08-07 01:00:24,BENEF_METRO_CARD,0,DEV_POOJA_MOBILE,0,Bengaluru,2.2,0
TXN1039,user_std_02,249.58,2026-08-07 01:31:30,BENEF_METRO_CARD,0,DEV_POOJA_MOBILE,0,Bengaluru,3.2,0
TXN1105,user_lim_01,853.01,2026-08-07 01:33:41,BENEF_ELECTRICITY_BOARD,0,DEV_ROHAN_ANDROID,0,Hyderabad,3.3,0
TXN1023,user_std_01,336.01,2026-08-07 01:49:59,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.7,0
TXN1059,user_std_02,236.18,2026-08-07 07:51:11,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,2.7,0
TXN1097,user_hni_01,18041.47,2026-08-07 18:39:09,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_IPHONE,0,Gurugram,3.3,0
TXN1101,user_hni_01,19076.07,2026-08-07 19:37:44,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_IPHONE,0,Gurugram,4.3,0
